,cycle index,p_a,p_b,p_c,q_a,q_b,q_c,r_a,r_b,r_c,s_a,s_b,s_c,t_a,t_b,t_c
0,0,1901.9699290497497,154.85749442179707,-0.0011853303434711875,-2457.778786489847,238.0,-0.00032228845804370404,21395.535065689648,299.15177308549954,-0.011196647836137925,-6336.032458923657,323.269354627261,-0.010496717820506814,2000.0,477.0,-1.0
1,1,2338.915564823628,156.13342794563343,-0.0018715823109619152,-2541.4448357576725,235.0,-0.000337864689387841,20156.762867775986,299.14975012513526,-0.01228662089956202,-3287.465958766832,313.0,-0.0002043990225555898,4000.1909998424367,561.0107594100969,-0.0004787350679353314
2,2,2000.0,39.0,-1.0,-1209.5419089433972,60.99999999999999,-5.752724723916486e-05,2000.0,156.0,-1.0,-2000.0,157.0,-1.0,2420.3259301515372,153.52368401400852,-0.002585099520355939
3,3,2273.176529287165,148.64586957553666,-0.001579457354954358,-2000.0,212.0,-1.0,2000.0,216.0,-1.0,-2411.474441194748,235.23852068382794,-0.00042298712259577386,20126.79638751806,299.1160188785429,-0.013262300142794932
4,4,1760.38529868166,149.26542861690828,-0.001895023533275017,-2609.036608410759,227.0,-0.00029355391787911256,19648.97703976449,298.3031830427009,-0.012251185023455234,-4125.87125852388,313.0,-0.00046182815163575003,2000.0,487.0,-1.0
5,5,2259.9692668893167,150.104811877479,-0.00219678229280139,-2778.6779980604215,231.0,-0.00029521833936285165,20239.774339116266,298.1975422970714,-0.013087970536644882,-4224.220014418854,313.0,-0.00042186689639166084,2000.0,480.0,-1.0
6,6,2564.0909661078194,146.21008225843096,-0.002145257821449941,-2126.4993916494604,233.0,-0.00038106024284599967,20778.93789515658,298.2714962596766,-0.011680133634128956,-3019.7197867355344,312.0,-0.00017504972382563057,2000.0,512.0,-1.0
7,7,1724.5302969340587,146.4749830265222,-0.004004103085121673,-2000.0,203.0,-1.0,2000.0,208.0,-1.0,-2135.917317084694,230.0,-0.0003342561180540833,20573.21822944004,297.6616014547867,-0.012226525091296948
8,8,1801.2397633281741,147.5116209264009,-0.004859775048509922,-2218.567576611089,232.0,-0.0002700684172871349,20896.756445892635,298.3728864112879,-0.012105508230358884,-6376.957087327462,322.3033070244767,-0.011881229602646952,2000.0,455.0,-1.0
9,9,1611.6337094163953,149.61562346620184,-0.002936824170207753,-2089.181142620206,232.99999999999983,-0.0003393322142593194,20802.1020809096,297.5623879365344,-0.011903992990979636,-5911.2758375854455,322.8047935315089,-0.01427395985917579,2000.0,444.0,-1.0
